2025-12-20 01:53:01 | INFO | MOVE [0, 0] -> [0, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:01 | INFO | MOVE [1, 0] -> [1, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:01 | INFO | MOVE [3, 0] -> [3, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:01 | INFO | MOVE [4, 0] -> [4, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:01 | INFO | MOVE [5, 0] -> [5, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:01 | INFO | MOVE [6, 0] -> [6, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:01 | INFO | MOVE [7, 0] -> [7, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:01 | INFO | MOVE [12, 0] -> [12, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:01 | INFO | MOVE [13, 0] -> [13, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:01 | INFO | MOVE [10, 0] -> [10, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:01 | INFO | MOVE [14, 0] -> [14, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:01 | INFO | MOVE [11, 0] -> [11, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:01 | INFO | MOVE [17, 0] -> [17, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:01 | INFO | MOVE [9, 0] -> [9, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:01 | INFO | MOVE [15, 0] -> [15, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:01 | INFO | MOVE [16, 0] -> [16, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:01 | INFO | MOVE [8, 0] -> [8, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:01 | INFO | MOVE [19, 0] -> [20, 0] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:01 | INFO | MOVE [2, 0] -> [2, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:01 | INFO | MOVE [18, 0] -> [18, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [0, 1] -> [0, 2] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [1, 1] -> [1, 2] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [3, 1] -> [3, 2] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [4, 1] -> [4, 2] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [5, 1] -> [5, 2] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [6, 1] -> [6, 2] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [7, 1] -> [7, 2] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [12, 1] -> [12, 2] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [13, 1] -> [13, 2] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [10, 1] -> [10, 2] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [14, 1] -> [14, 2] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [11, 1] -> [11, 2] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [17, 1] -> [17, 2] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [9, 1] -> [9, 2] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [15, 1] -> [15, 2] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [16, 1] -> [16, 2] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [8, 1] -> [8, 2] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [20, 0] -> [21, 0] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [2, 1] -> [2, 2] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [18, 1] -> [19, 1] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [0, 2] -> [0, 3] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | WARNING | BLOCKED [1, 2] -> [2, 2] | WAIT=0
2025-12-20 01:53:02 | INFO | MOVE [3, 2] -> [3, 3] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | WARNING | BLOCKED [4, 2] -> [5, 2] | WAIT=0
2025-12-20 01:53:02 | INFO | MOVE [5, 2] -> [5, 3] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [6, 2] -> [6, 3] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [7, 2] -> [7, 3] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [12, 2] -> [12, 3] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [13, 2] -> [13, 3] | STATE=TO_PICKUP | MODE=NORMAL
2025-12-20 01:53:02 | INFO | MOVE [10, 2] -> [10, 3] | STATE=TO_PICKUP | MODE=NORMAL
